"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"14142","100%",TRUE,"Entire condo","within an hour",87,4.72,150,4.57,4.71,1,905,"Venustiano Carranza","Entire home/apt",5,3,1,1125,TRUE,4.71,4.71
"14143","98%",TRUE,"Private room in hostel","within an hour",8,4.63,304,4.25,4.5,1,480,"Gustavo A. Madero","Private room",2,2,1,365,TRUE,4.5,4.5
"14144","100%",TRUE,"Room in boutique hotel","within an hour",85,4.93,351,4.89,4.96,1.5,1270,"Miguel Hidalgo","Private room",2,1,1,27,TRUE,4.96,4.96
"14145","N/A",TRUE,"Entire condo","N/A",6,5,0,5,4.67,2,1950,"Cuauhtémoc","Entire home/apt",4,3,2,180,TRUE,4.67,4.67
"14146","99%",TRUE,"Private room in condo","within an hour",15,4.67,333,5,4.8,1,299,"Cuauhtémoc","Private room",1,1,5,1125,TRUE,4.8,4.8
"14147","99%",TRUE,"Private room in home","within an hour",44,4.75,320,4.98,4.57,1,6874,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.57,4.57
"14148","64%",TRUE,"Private room in home","N/A",0,4.75,0,4.83,4.71,1,600,"Iztapalapa","Private room",2,1,2,1125,TRUE,4.71,4.71
"14149","96%",TRUE,"Entire rental unit","within an hour",1,4,86,4,4,1,789,"Benito Juárez","Entire home/apt",2,1,3,1125,TRUE,4,4
"14150","99%",TRUE,"Entire guest suite","within an hour",0,4.75,32,4.83,4.71,1,655,"Cuauhtémoc","Entire home/apt",2,1,2,30,TRUE,4.71,4.71
"14151","100%",TRUE,"Private room in vacation home","within a few hours",1,4,365,5,5,1,230,"Benito Juárez","Private room",2,2,30,365,TRUE,5,5
"14152","N/A",TRUE,"Entire guesthouse","N/A",59,4.97,339,4.95,4.95,1,904,"Miguel Hidalgo","Entire home/apt",3,2,1,365,TRUE,4.95,4.95
"14153","100%",TRUE,"Entire rental unit","within an hour",29,4.69,78,4.86,4.93,2,3171,"Benito Juárez","Entire home/apt",4,2,3,365,TRUE,4.93,4.93
"14154","N/A",TRUE,"Private room in condo","N/A",2,5,362,5,5,1,443,"Azcapotzalco","Private room",2,1,1,99,TRUE,5,5
"14155","100%",TRUE,"Entire serviced apartment","within an hour",3,5,0,5,5,2,1989,"Miguel Hidalgo","Entire home/apt",4,3,4,45,TRUE,5,5
"14156","100%",TRUE,"Room in aparthotel","within an hour",2,4,347,4,4,1,250,"Coyoacán","Private room",1,1,7,1125,TRUE,4,4
"14157","97%",TRUE,"Private room in home","within an hour",54,4.89,75,4.87,4.94,1.5,722,"Cuauhtémoc","Private room",2,1,2,15,TRUE,4.94,4.94
"14158","100%",TRUE,"Entire condo","within an hour",44,4.45,308,4.68,4.52,1,1129,"Venustiano Carranza","Entire home/apt",6,3,1,365,TRUE,4.52,4.52
"14159","100%",TRUE,"Entire guest suite","within an hour",30,4.97,343,4.97,4.87,1,610,"Cuauhtémoc","Entire home/apt",2,1,2,1125,TRUE,4.87,4.87
"14160","88%",TRUE,"Entire rental unit","within an hour",7,4.43,363,5,4.43,1,1550,"Cuauhtémoc","Entire home/apt",4,2,1,365,TRUE,4.43,4.43
"14161","100%",TRUE,"Entire rental unit","within an hour",46,3.96,75,4.96,4.13,4,1686,"Cuauhtémoc","Entire home/apt",8,6,1,1125,TRUE,4.13,4.13
"14162","98%",TRUE,"Entire home","within an hour",27,4.7,361,4.89,4.7,1.5,800,"Álvaro Obregón","Entire home/apt",4,2,1,1125,TRUE,4.7,4.7
"14163","100%",TRUE,"Entire rental unit","within an hour",48,4.75,351,4.79,4.77,2,550,"Cuajimalpa de Morelos","Entire home/apt",5,3,1,364,TRUE,4.77,4.77
"14164","100%",TRUE,"Private room in condo","a few days or more",0,4.75,365,4.83,4.71,1,1071,"Álvaro Obregón","Private room",2,1,1,365,TRUE,4.71,4.71
"14165","100%",TRUE,"Entire rental unit","within an hour",2,5,329,5,5,1.5,896,"Azcapotzalco","Entire home/apt",3,2,1,365,TRUE,5,5
"14166","93%",TRUE,"Entire serviced apartment","within an hour",29,4.9,336,4.83,4.62,1,700,"Cuauhtémoc","Entire home/apt",6,3,1,1125,TRUE,4.62,4.62
"14167","100%",TRUE,"Entire vacation home","within an hour",1,5,327,5,5,2,1950,"Miguel Hidalgo","Entire home/apt",4,1,1,365,TRUE,5,5
"14168","100%",TRUE,"Private room in serviced apartment","within an hour",7,4.57,328,4.57,4.43,1,1410,"Miguel Hidalgo","Private room",2,1,1,402,TRUE,4.43,4.43
"14169","100%",TRUE,"Entire condo","within an hour",12,5,326,4.83,5,2,1450,"Miguel Hidalgo","Entire home/apt",6,3,4,1125,TRUE,5,5
"14170","97%",TRUE,"Entire condo","within an hour",57,4.84,73,4.7,4.77,1,454,"Benito Juárez","Entire home/apt",5,4,2,60,TRUE,4.77,4.77
