,host_acceptance_rate,host_identity_verified,property_type,host_response_time,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,neighbourhood_cleansed,room_type,accommodates,beds,minimum_nights,maximum_nights,has_availability,review_scores_checkin,review_scores_communication
24807,100%,TRUE,Entire rental unit,within an hour,3,5,0,5,5,1.5,567.00,Leblon,Entire home/apt,2,1,3,365,TRUE,5,5
24808,67%,TRUE,Entire home,within a day,0,4.73,0,4.86,4.68,2,96.00,Jacarepaguá,Entire home/apt,2,2,2,60,TRUE,4.68,4.68
24809,100%,TRUE,Private room in rental unit,within an hour,2,5,156,5,4.5,1,154.00,Portuguesa,Private room,1,1,1,365,TRUE,4.5,4.5
24810,93%,TRUE,Entire condo,within an hour,55,4.96,74,4.87,4.89,2,308.00,Botafogo,Entire home/apt,4,3,2,90,TRUE,4.89,4.89
24811,100%,TRUE,Entire serviced apartment,within an hour,23,4.77,73,5,4.82,2,1100.00,Barra da Tijuca,Entire home/apt,4,3,5,90,TRUE,4.82,4.82
24812,88%,TRUE,Entire condo,within an hour,124,4.83,92,4.93,4.72,1,367.00,Ipanema,Entire home/apt,4,3,3,120,TRUE,4.72,4.72
24813,100%,FALSE,Entire rental unit,within a day,26,4.91,0,4.95,4.86,2,261.00,Ipanema,Entire home/apt,6,4,1,15,TRUE,4.86,4.86
24814,100%,FALSE,Entire rental unit,within an hour,2,5,46,4.5,4.5,1,138.00,Camorim,Entire home/apt,3,1,1,365,TRUE,4.5,4.5
24815,67%,TRUE,Private room in rental unit,within an hour,1,5,359,5,5,1,80.00,Tijuca,Private room,1,1,7,1125,TRUE,5,5
24816,92%,TRUE,Entire condo,within an hour,10,4.6,184,4.9,4.7,1,550.00,Recreio dos Bandeirantes,Entire home/apt,4,1,2,365,TRUE,4.7,4.7
24817,79%,FALSE,Entire rental unit,within a few hours,16,4.75,271,4.69,4.56,1,208.00,Copacabana,Entire home/apt,4,1,2,89,TRUE,4.56,4.56
24818,100%,TRUE,Entire rental unit,within an hour,15,4.73,104,5,4.87,1,180.00,Copacabana,Entire home/apt,4,1,2,730,TRUE,4.87,4.87
24819,85%,TRUE,Private room in rental unit,within an hour,5,4.8,365,5,5,1,150.00,Flamengo,Private room,1,1,1,365,TRUE,5,5
24820,50%,TRUE,Entire rental unit,N/A,35,4.94,363,4.77,4.77,2,400.00,Barra da Tijuca,Entire home/apt,3,2,3,1125,TRUE,4.77,4.77
24821,80%,TRUE,Entire rental unit,N/A,13,5,0,5,4.77,1,180.00,Copacabana,Entire home/apt,2,2,2,1125,TRUE,4.77,4.77
